Kvadratmeterpris og omsatte boliger (D),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Variabler i filter,,,,,,,,,,,,,,,
Boligtype, Boligtype i alt,,,,,,,,,,,,,,
Gjennomsnittlig kvadratmeterpris,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
År,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Geografi,,,,,,,,,,,,,,,
Oslo i alt,24934,28260,33183,36468,34359,35768,38337,42615,46432,48038,49340,55475,64706,69293,69532
Bydel Gamle Oslo,26256,29285,35143,38161,34845,35452,37584,42045,46181,48421,50255,57329,68730,73181,74605
Delbydel Grønland,26676,29818,35723,38908,36895,36861,38628,43773,47326,48159,50209,57230,70257,70902,73069
Delbydel Enerhaugen,26525,29391,34916,37328,34193,35368,36109,41368,45004,47937,49063,56084,68144,72992,72798
Delbydel Nedre Tøyen,26229,29692,35292,37523,34004,33601,36494,41072,44382,47896,49344,56373,68769,74511,74062
Delbydel Kampen,27852,30946,36945,39536,35997,37469,39793,44607,49426,50849,52204,59206,71039,75107,77164
Delbydel Vålerenga,26269,29534,36441,39647,35608,35584,38044,42628,46913,49440,50659,58256,69316,74484,74774
Delbydel Lodalen,25315,28892,34950,39361,34689,36019,38828,41956,47853,49955,52534,60454,70711,-,-
Delbydel Kværnerbyen,-,-,-,-,-,-,-,-,-,-,-,-,-,73572,74862
Delbydel Bispevika,-,-,-,-,-,-,-,-,-,-,-,-,-,94147,100125
Delbydel Helsfyr,25278,27794,32847,35481,32545,33332,35872,39955,43661,46102,48584,54503,64065,-,-
Delbydel Ensjø,-,-,-,-,-,-,-,-,-,-,-,-,-,69215,68606
Delbydel Etterstad,-,-,-,-,-,-,-,-,-,-,-,-,-,66355,67441
Bydel Grünerløkka,27416,30813,36628,39312,36440,37314,40084,44456,48990,51078,53173,60548,71505,75909,76413
Delbydel Grünerløkka vest,29012,32888,39374,41836,39972,41002,44312,47971,51962,55247,57559,65019,77457,82214,82025
Delbydel Grünerløkka øst,28837,32227,38397,40388,38198,39558,41992,46805,52329,53989,56302,63671,74816,80280,81541
Delbydel Dælenenga,28991,33239,38412,40422,36728,39939,42257,46255,51523,52270,55299,63657,73573,77769,77992
Delbydel Rodeløkka,26192,29931,36467,40062,37032,36768,40115,44857,49331,52159,54743,61359,72888,77109,78011
Delbydel Sinsen,26519,29903,35643,38143,35201,35577,37867,42184,46872,48741,49918,58502,69072,72149,73470
Delbydel Sofienberg,27782,30784,36086,38756,35782,36461,38667,44110,47808,49649,51690,58723,70687,74708,75176
Delbydel Hasle-Løren,25993,27916,32965,36756,34985,35441,38865,41665,47171,49281,51505,57165,66502,-,-
Delbydel Løren,-,-,-,-,-,-,-,-,-,-,-,-,-,75915,74868
Delbydel Hasle,-,-,-,-,-,-,-,-,-,-,-,-,-,70742,71803
Bydel Sagene,28350,31211,37054,40293,37390,38812,41273,46450,51625,53733,55362,63422,74206,79348,80766
Delbydel Iladalen,28399,30834,37740,42392,38488,40647,42900,48740,53577,55907,57358,66344,78398,81274,84004
Delbydel Sagene,29277,32800,38295,40874,38395,39214,41233,47453,52921,54920,55443,63054,73954,79167,79781
Delbydel Bjølsen,28048,30335,36683,39261,36999,38236,40989,45609,51777,54265,57108,65118,76360,85467,85758
Delbydel Sandaker,27346,30828,35783,39041,36456,37830,40897,44897,49780,51770,53601,60809,71120,75757,77247
Delbydel Torshov,28390,31413,36855,39687,36744,37821,40118,45294,50122,51998,53636,61306,71970,76373,77490
Bydel St Hanshaugen,29801,34420,40496,44302,40942,41759,44969,50247,54898,57328,58065,65631,76307,82436,81649
Delbydel Hammersborg,29869,38290,44195,47112,44038,44211,45595,50935,56065,59479,59205,67606,79839,86001,85215
Delbydel Bislett,29914,34775,40433,45510,41575,42810,46456,51994,56436,59235,59707,66349,78275,84293,83612
Delbydel Ila,28769,31153,37430,41008,38221,38602,42011,46728,51808,53331,55311,62140,72218,78005,76592
Delbydel Fagerborg,29950,34673,40697,44472,40130,41597,45426,50632,53821,57794,58394,66060,75180,82269,80988
Delbydel Lindern,31746,34464,40125,44224,40640,42828,45951,51717,56559,57740,57892,66823,75831,82538,82067
Bydel Frogner,31258,37014,42561,46223,44180,45150,49273,54552,58995,61100,61839,68158,79721,87326,87923
Delbydel Bygdøy,28827,36796,43713,44674,45177,49986,53593,55455,57713,60074,58679,65802,71939,77240,80935
Delbydel Frogner,31096,35531,41208,45508,43093,44759,47660,53666,58163,60257,61056,67301,77833,85344,83773
Delbydel Frognerparken,31462,37753,43597,46765,45932,45572,49765,54279,59020,62294,63507,70164,81516,89060,91126
Delbydel Majorstuen nord,31055,36905,41643,45126,43477,45789,48930,54921,59746,62511,62912,66491,79164,85773,88601
Delbydel Majorstuen syd,31544,36347,42097,45390,43298,43744,48239,53027,57452,59002,60953,67866,78571,84419,86144
Delbydel Homansbyen,31638,37956,43503,47392,44445,44501,49632,54692,59269,61652,61096,67915,80112,86517,85989
Delbydel Uranienborg,31423,36482,42628,46933,43930,45709,50001,55197,59523,62004,62482,68291,79260,88475,88195
Delbydel Skillebekk,30517,37511,42052,45668,44492,46319,49574,56194,60278,60975,62521,69022,81798,90964,92805
Bydel Ullern,28214,31688,36315,41137,40508,40156,44085,48314,52006,52393,53452,58411,66381,72944,74109
Delbydel Ullernåsen,26746,29258,33642,37568,36801,36606,41087,45093,47821,47630,47159,52225,58710,65365,66324
Delbydel Lilleaker,26508,30522,36091,38221,37384,36464,41754,43815,49055,48016,50817,54676,62176,68397,72108
Delbydel Ullern,26552,28370,33435,37810,37125,37942,41378,44694,47458,49419,48744,54528,63765,65473,66329
Delbydel Montebello-Hoff,29285,33204,36115,40518,40326,39777,43833,46830,51472,50976,53046,58635,67080,72922,76022
Delbydel Skøyen,30358,34814,40164,46912,44693,45554,48587,55500,57876,60578,61567,65256,74728,82638,83926
Bydel Vestre Aker,26334,29924,33678,37784,36709,36779,40989,44686,47770,48269,48787,53137,60682,66065,67186
Delbydel Røa,24643,28248,32753,37257,36107,35502,39549,44194,47161,47567,47940,51969,58939,64362,65188
Delbydel Holmenkollen,25797,29664,33099,35814,35484,34461,38215,41936,45522,46788,46167,49547,56927,62106,63139
Delbydel Hovseter,25390,27568,31404,35443,33678,33983,38077,41305,43680,45142,45808,50613,59297,62997,63041
Delbydel Holmen,27181,31798,34486,39890,38160,38385,41712,45139,47857,47961,48221,53555,61303,67407,68865
Delbydel Slemdal,28642,32474,35322,40672,39678,40365,44545,48484,53062,52510,53150,58660,62444,71352,72168
Delbydel Grimelund,26586,31452,36303,38268,40668,38130,42429,50069,48596,49657,51445,55800,60553,69031,70231
Delbydel Vinderen,30712,35368,39844,44539,42608,46010,48147,51625,58031,58847,56872,62549,71252,80066,79967
Bydel Nordre Aker,28021,31814,36184,39999,39323,39529,43725,49154,53039,54668,55117,59917,70426,74778,78073
Delbydel Disen,25459,30159,33533,39173,35040,36317,40324,44515,48548,49750,50445,57144,67663,70078,71410
Delbydel Myrer,27252,30414,35230,40068,37208,38618,41591,47632,51083,52876,54063,56933,67679,70170,74172
Delbydel Grefsen,25953,28747,32379,34801,34261,33627,37560,43427,44529,46801,47743,52762,62653,66157,66472
Delbydel Kjelsås,27256,29065,35183,37477,36436,36949,40665,45700,50721,50506,52873,56223,67647,72141,72738
Delbydel Korsvoll,29269,33716,37806,42293,41071,40837,42482,48593,56554,56438,55653,61173,71140,79546,79393
Delbydel Tåsen,29279,31205,37646,39842,40552,42749,46720,51585,56646,57624,59348,65535,75768,81055,84610
Delbydel Nordberg,28836,33469,37555,43309,42042,40345,46864,51715,54455,56818,54980,60548,70642,78031,76770
Delbydel Ullevål hageby,32344,38984,42404,46007,48377,46711,53052,57596,62100,66870,63708,69097,79192,89052,91580
Bydel Bjerke,21832,23346,28216,31308,29765,29902,32512,35720,39278,40481,41745,46945,53847,59001,58834
Delbydel Veitvet,18786,20070,24887,26926,24796,24441,26040,29114,32912,34737,33511,39355,45420,49455,46862
Delbydel Linderud,22535,23640,27553,31134,29645,29473,31962,34395,37449,40544,41778,46396,53832,59039,56428
Delbydel Økern,20649,22669,28898,32169,29789,32124,35274,36691,40763,40273,44176,49187,55825,-,-
Delbydel Refstad,-,-,-,-,-,-,-,-,-,-,-,-,-,64433,69204
Delbydel Ulven,-,-,-,-,-,-,-,-,-,-,-,-,-,56694,62935
Delbydel Årvoll,24040,25913,31091,34267,32850,32699,35625,39781,43001,44328,45460,51603,58964,64393,63393
Bydel Grorud,18393,20177,23417,25990,24437,25098,27079,29464,33027,34412,35157,40138,46629,50248,49224
Delbydel Ammerud,19396,20954,25448,27472,26235,26338,28308,31490,34973,35865,37363,42481,50456,53420,56047
Delbydel Rødtvet,20144,21509,25139,28434,25226,25952,28372,30139,35372,35773,36028,42053,47554,52633,50493
Delbydel Nordtvet,20257,22194,25632,28746,27310,27001,28799,31006,33904,36769,36281,41325,48870,51770,49143
Delbydel Grorud,19885,20971,24725,28838,26278,26746,28347,30927,33960,35730,37371,41276,48426,53906,51575
Delbydel Romsås,14402,16491,18824,20264,18719,20753,21447,24047,27292,28791,29618,33652,38271,40028,40934
Bydel Stovner,17657,19008,22075,25057,23666,23599,24821,27583,30364,31420,32063,35510,40255,44165,42394
Delbydel Vestli,17172,18709,20813,24185,22649,22956,23143,25668,27953,29124,29327,32635,37580,38639,37847
Delbydel Fossum,18492,18909,22185,25623,23475,22909,23909,26861,29620,31246,33225,37231,38815,44445,41885
Delbydel Rommen,17355,18464,21428,24875,23355,22973,24812,26561,30267,31371,31208,35140,40338,43402,40566
Delbydel Haugenstua,17287,19317,23159,25314,24117,23970,26611,30381,36805,35145,36100,40147,47081,54474,51255
Delbydel Stovner,18402,20049,22099,25832,24555,24750,25504,26869,27604,30144,30949,32955,35797,40182,41013
Delbydel Høybråten,17623,19051,22951,25017,24324,24689,25348,28405,29797,31593,31981,36365,40848,44333,43250
Bydel Alna,18751,20490,24067,26859,25429,25798,27731,30837,33679,35636,35895,41021,47562,51370,49042
Delbydel Furuset,15933,17214,20666,23496,22012,22349,22974,25843,28563,29904,30352,34101,40716,45281,41431
Delbydel Ellingsrud,18128,19864,22370,24908,23755,24323,25633,28582,31136,31885,32773,36955,42283,45622,44361
Delbydel Lindeberg,17850,19775,23464,25579,25341,24318,26940,29149,30560,33583,33436,38975,44025,49149,46635
Delbydel Trosterud,19599,20607,24440,27895,25270,26548,28014,31257,33772,36728,37671,42505,49025,52257,48895
Delbydel Hellerudtoppen,20394,22968,26779,30053,27859,28724,33291,35294,37392,37863,38718,45298,50114,55827,55570
Delbydel Tveita,20029,22448,26140,28549,28267,29302,30726,33387,38050,39884,39298,45357,52253,54617,55361
Delbydel Teisen,21113,23001,27487,29585,28086,28164,30597,34389,38437,40435,40137,45905,55504,58258,55777
Bydel Østensjø,21650,23237,27183,30228,28619,29088,32045,35174,38339,40111,40856,45599,54106,56946,56556
Delbydel Manglerud,22561,24378,29005,31694,30200,30871,33433,37002,40668,42362,43118,48682,57526,59127,59287
Delbydel Godlia,22016,24496,27699,31418,29918,29985,32773,36421,39813,41214,41307,46268,55289,57889,57905
Delbydel Oppsal,21256,22581,26484,29425,27925,28795,31862,34803,37739,40165,40733,45204,54197,56578,56362
Delbydel Bøler,20978,22241,26539,29599,27717,27819,31306,34197,36771,38354,39570,44100,51850,55143,53243
Delbydel Skullerud,20802,22735,26362,29822,28038,28544,30633,33776,36839,38145,39218,43934,51672,55489,53434
Delbydel Abildsø,22138,23300,26076,28266,27693,27595,30635,33726,36409,38618,38878,41048,49157,54636,52715
Bydel Nordstrand,22779,25426,29457,33170,31724,32558,34963,38873,41822,43515,44584,48959,56377,61543,60350
Delbydel Ljan,24938,26890,30989,35272,33556,33392,35951,38568,41154,43788,45733,46413,56021,59426,59756
Delbydel Nordstrand,26204,29074,33188,36886,37299,35491,39162,42370,45271,48628,48379,53340,59412,66340,67386
Delbydel Bekkelaget,26001,29507,35427,38117,38003,37858,39998,44798,48932,50359,49289,54813,60335,68241,65742
Delbydel Simensbråten,22777,26104,29688,34831,31721,34308,36492,40735,43013,43771,45602,49331,56515,64223,61059
Delbydel Lambertseter,21116,23252,27255,30539,28736,29566,32120,35993,39005,40806,42550,47143,55574,58716,57190
Delbydel Munkerud,22655,24938,28497,33854,32607,32167,35553,39948,42237,42990,41858,47174,52722,61949,59833
Bydel Søndre Nordstrand,16137,17471,20503,23463,22866,22729,24273,26468,28626,30302,30204,34226,39156,43009,41235
Delbydel Holmlia Syd,14779,16108,19639,21814,21526,21215,22967,25546,27995,28834,28475,32682,38027,43609,39335
Delbydel Holmlia Nord,15349,16874,20470,22536,22369,22890,23482,26306,27959,31466,29830,34583,41055,44453,43145
Delbydel Prinsdal,17295,18190,20639,23814,23257,21736,24271,25548,26987,30195,29148,33827,38488,41149,40084
Delbydel Bjørnerud,17109,18111,20565,24332,23726,23407,25255,27324,29917,31327,32431,35409,40065,44183,42330
Delbydel Mortensrud,17531,19079,23190,25041,23639,24764,27023,28180,30369,31268,32019,36615,40965,44807,43471
Delbydel Bjørndal,16197,17708,20241,24040,23551,22710,23940,26070,28800,28820,29391,32688,36866,38108,35897
Sentrum,33385,38922,49643,51255,47175,48903,49714,57192,61794,59825,58354,65391,81145,87539,85210
Sentrum,33385,38922,49643,51255,47175,48903,49714,57192,61794,59825,58354,65391,81145,87539,86393
Marka,23078,20457,34733,36228,32457,32752,40226,49426,38650,41385,-,46265,43232,52762,62388
Marka,23078,20457,34733,36228,32457,32752,40226,49426,38650,41385,-,46265,43232,52762,62388
